club_id,buy_count_under21,buy_count_21_to_26,buy_count_27_plus,buy_avg_value_under21,buy_avg_value_21_to_26,buy_avg_value_27_plus,buy_total_value_under21,buy_total_value_21_to_26,buy_total_value_27_plus,buy_sum_transfer_fee_under21,buy_sum_transfer_fee_21_to_26,buy_sum_transfer_fee_27_plus,buy_avg_value_attack,buy_avg_value_midfield,buy_avg_value_defense,buy_sum_transfer_fee_attack,buy_sum_transfer_fee_midfield,buy_sum_transfer_fee_defense,club_name
3,5.8,8.8,4,0.693,2.486449495,2.454642857,3.505,22.612,9.33,2,6.11,1.6,2.467333333,2.267083333,1.75975,2.9,3.65,3.16,1. FC Köln
10,5.5,12,3,0.945625,2.475437063,1.92,4.6375,29.3375,4,1.925,2.8875,0.15,1.662777778,4.87,1.786666667,3.025,0.25,1.5375,Arminia Bielefeld
15,4,5.6,2.2,5.861666667,8.924095238,6.683333333,14.46,50.92,24.7,20.03,33,6.3,12.04666667,10.74479167,6.07,22.26,20.22,15.45,Bayer 04 Leverkusen
16,3.8,5.4,2.2,10.625,16.27383333,13.485,28.84,91.915,33.14,17.73,45.6,20.22,16.13142857,13.67333333,12.36166667,37.32,27.03,16.2,Borussia Dortmund
18,4.6,6.2,1,1.414333333,5.912720238,3.21,6.13,35.755,5.02,3.36,18.26,3.236,6.003809524,4.413333333,5.375,11.72,3.876,7.46,Borussia Mönchengladbach
24,10,10.2,4,1.581904762,9.481103175,5.735,13.37,90.62,23.32,10.35,25.908,6.7,9.603333333,4.933666667,4.570487179,16.778,15.47,8.8,Eintracht Frankfurt
27,5.4,6.8,3.2,3.359357143,19.885,31.93,19.475,118.8,99.78,9.9,74.3,34.5,17.032,14.405,19.04866667,40.6,12.8,62.5,Bayern Munich
33,4.333333333,14,7.333333333,4.786111111,4.919113757,3.476161616,14.35833333,58.61666667,24.06666667,5.5,7.11,0.766666667,3.396164021,7.452777778,5.022916667,5.75,1.233333333,6.233333333,FC Schalke 04
38,1,15,3,,2.615,2.4,0,39.225,7.2,0,10.95,0.2,3.11,2.665,3.05625,10.25,0.9,0,Fortuna Düsseldorf
39,3,10.4,3.6,0.67,3.494935897,3.8365,1.355,35.735,13.3,0.64,11.84,2.4,2.217166667,3.849166667,3.538059524,2.34,4.2,8.34,1. FSV Mainz 05
44,4.25,12.75,3.5,2.540625,7.223536706,3.622916667,5.84375,85.53125,12.09375,5.375,33.2625,5.9125,6.659732143,8.108035714,3.640104167,23.3875,15.8625,2.725,Hertha Berlin
60,3.6,7.2,1.6,0.986666667,3.807428571,3.386666667,4.06,26.795,7.04,2.38,9.97,0.8,3.700666667,2.4,3.970666667,5.64,5.77,1.4,SC Freiburg
65,3,11,4,0.508333333,1.484090909,1.575,1.525,16.325,6.3,0,0.85,0.55,2.066666667,1.088888889,1.8,0,1.1,0.3,Greuther Fürth
79,6.5,9.5,2,0.943563988,3.300622294,3.195,6.34375,32.5,11.375,2.7625,11.4875,3.1,2.492186147,2.135416667,3.5125,5.7125,4.7125,3.625,VfB Stuttgart
80,2,7.666666667,7,0.258333333,1.651481481,1.811216931,0.45,11.98333333,13.26666667,0,0.511666667,0.9,1.875,1.95,1.430555556,0.045,0.533333333,0.833333333,VfL Bochum
82,6.4,9.4,2.2,1.469083333,5.965460165,2.673333333,8.03,57.51,6.62,9.286,38,2.9,3.87478355,5.8975,3.944952381,18.05,13.736,18.4,VfL Wolfsburg
86,4.5,9.75,3.25,0.722767857,2.308705808,4.447916667,3.43125,22.625,14.625,0.0625,7.7125,1.5875,2.708854167,2.40625,2.428928571,1.875,4.525,2.9625,Werder Bremen
89,5.6,11.8,7.2,1.01,2.740575092,3.322126984,4.445,33.22,24.08,0.3,11.61,7.14,2.435055556,2.87540404,3.324916667,8.82,6.09,3.94,1. FC Union Berlin
105,0,12,2,0,1.285416667,1.35,0,15.425,2.7,0,3.8,0,1.207142857,1.295,1.6,1.8,0,2,Darmstadt 98
127,4,18,0,0.3125,0.548529412,0,0.625,9.325,0,0,0.75,0,0.55,0.65,0.3125,0.2,0.55,0,SC Paderborn 07
167,4,11.6,2.6,2.242666667,2.987035256,1.819333333,8.34,33.565,6.49,5.432,11.57,0.69,3.418055556,3.437333333,1.958579365,7.102,4.5,4.55,FC Augsburg
533,4.4,9.4,3.8,2.185666667,5.742,4.72,9.92,56.115,18.26,0.3,20.81,3.53,4.576458333,5.7745,5.297777778,10.05,8.17,6.42,TSG 1899 Hoffenheim
2036,3,6,1,,1.095833333,0.6,0,6.575,0.6,0,2.3,0,1.2,,0.89375,1.8,0,0.5,1. FC Heidenheim
23826,9.4,9.2,2.2,8.423232143,13.31106494,2.98,52.985,120.355,12,36.154,68.9,0.27,12.93126984,11.30991667,8.822460317,34.4,36.694,33.66,RB Leipzig
