Squad,club_name,club_id
Union Berlin,1. FC Union Berlin,89
Eint Frankfurt,Eintracht Frankfurt,24
Freiburg,SC Freiburg,60
Köln,1. FC Köln,3
Dortmund,Borussia Dortmund,16
Leverkusen,Bayer 04 Leverkusen,15
Werder Bremen,Werder Bremen,86
Mainz 05,1. FSV Mainz 05,39
Hoffenheim,TSG 1899 Hoffenheim,533
Wolfsburg,VfL Wolfsburg,82
Stuttgart,VfB Stuttgart,79
Bochum,VfL Bochum,80
Darmstadt 98,Darmstadt 98,105
Bayern Munich,Bayern Munich,27
Augsburg,FC Augsburg,167
RB Leipzig,RB Leipzig,23826
Heidenheim,1. FC Heidenheim,2036
Gladbach,Borussia Mönchengladbach,18
Schalke 04,FC Schalke 04,33
Hertha BSC,Hertha Berlin,44
Greuther Fürth,Greuther Fürth,65
Arminia,Arminia Bielefeld,10
Düsseldorf,Fortuna Düsseldorf,38
Paderborn 07,SC Paderborn 07,127
