"","","Home","","","","Away","","","","Total","","","","","","",""
"","","P","W","D","L","P","W","D","L","P","W","D","L","F","A","+/-","Pts"
"C","Bayer 04 Leverkusen","17","14","3","0","17","14","3","0","34","28","6","0","89","24","+65","90"
"2","VfB Stuttgart","17","13","3","1","17","10","1","6","34","23","4","7","78","39","+39","73"
"3","Bayern Munich","17","14","1","2","17","9","2","6","34","23","3","8","94","45","+49","72"
"4","RB Leipzig","17","11","4","2","17","8","4","5","34","19","8","7","77","39","+38","65"
"5","Borussia Dortmund","17","10","3","4","17","8","6","3","34","18","9","7","68","43","+25","63"
"6","Eintracht Frankfurt","17","7","8","2","17","4","6","7","34","11","14","9","51","50","+1","47"
"7","1899 Hoffenheim","17","6","5","6","17","7","2","8","34","13","7","14","66","66","0","46"
"8","1 FC Heidenheim","17","7","5","5","17","3","7","7","34","10","12","12","50","55","-5","42"
"9","Werder Bremen","17","7","4","6","17","4","5","8","34","11","9","14","48","54","-6","42"
"10","SC Freiburg","17","5","7","5","17","6","2","9","34","11","9","14","45","58","-13","42"
"11","FC Augsburg","17","6","6","5","17","4","3","10","34","10","9","15","50","60","-10","39"
"12","VfL Wolfsburg","17","6","4","7","17","4","3","10","34","10","7","17","41","56","-15","37"
"13","Mainz 05","17","6","5","6","17","1","9","7","34","7","14","13","39","51","-12","35"
"14","Borussia Mönchengladbach","17","5","6","6","17","2","7","8","34","7","13","14","56","67","-11","34"
"15","1 FC Union Berlin","17","7","2","8","17","2","4","11","34","9","6","19","33","58","-25","33"
"16","VfL Bochum","17","5","8","4","17","2","4","11","34","7","12","15","42","74","-32","33"
"R","1 FC Köln","17","4","4","9","17","1","8","8","34","5","12","17","28","60","-32","27"
"R","Darmstadt 98","17","1","3","13","17","2","5","10","34","3","8","23","30","86","-56","17"
